index,term,course_num,section,gpa,enrollment
0,201508,ACCT 2101,A,3.07,47
1,201508,ACCT 2101,B,2.76,70
2,201508,ACCT 2101,C,2.51,55
3,201508,ACCT 2101,D,3.37,68
4,201508,ACCT 2101,E,3.28,69
5,201508,ACCT 2102,A,3.39,65
6,201508,ACCT 2102,B,3.03,69
7,201508,ACCT 2102,C,3.45,38
8,201508,AE 1355,CLA,4.00,14
9,201508,AE 1355,MAV,4.00,14
10,201508,AE 1601,A,3.62,34
11,201508,AE 1601,B,3.91,35
12,201508,AE 1601,C,3.35,36
13,201508,AE 2010,A,2.81,55
14,201508,AE 2010,B,2.86,67
15,201508,AE 2220,A,3.07,62
16,201508,AE 2220,B,3.24,47
17,201508,AE 2220,R,3.50,14
18,201508,AE 2355,CLA,4.00,8
19,201508,AE 2355,MAV,4.00,7
20,201508,AE 2610,A,3.38,13
21,201508,AE 2610,B,3.06,18
22,201508,AE 2610,C,3.70,12
23,201508,AE 2610,D,3.14,16
24,201508,AE 2610,E,3.40,5
25,201508,AE 2611,A,3.68,61
26,201508,AE 2699,CLA,4.00,1
27,201508,AE 2699,COS,4.00,1
28,201508,AE 2699,FEI,4.00,1
29,201508,AE 2699,HOL,4.00,7
30,201508,AE 2699,KOM,4.00,1
31,201508,AE 2699,LIE,4.00,3
32,201508,AE 2699,MAV,4.00,22
33,201508,AE 2699,RUZ,4.00,1
34,201508,AE 2699,SCH,4.00,1
35,201508,AE 2699,THE,3.00,1
36,201508,AE 2699,ZIN,4.00,1
37,201508,AE 2801,A,3.50,2
38,201508,AE 3021,A,3.08,94
39,201508,AE 3021,B,3.48,93
40,201508,AE 3021,R,3.57,7
41,201508,AE 3051,A,3.44,19
42,201508,AE 3051,B,3.75,20
43,201508,AE 3051,C,3.74,19
44,201508,AE 3051,D,3.63,19
45,201508,AE 3051,E,3.25,20
46,201508,AE 3051,F,2.90,20
47,201508,AE 3051,G,3.45,20
48,201508,AE 3051,H,2.78,10
49,201508,AE 3051,I,3.70,10
50,201508,AE 3051,J,3.33,10
51,201508,AE 3051,K,3.11,10
52,201508,AE 3051,L,2.89,10
53,201508,AE 3125,A,2.58,71
54,201508,AE 3125,B,3.03,76
55,201508,AE 3145,A,3.33,22
56,201508,AE 3145,B,3.81,24
57,201508,AE 3145,C,3.52,23
58,201508,AE 3145,D,3.19,22
59,201508,AE 3145,E,3.25,20
60,201508,AE 3145,F,3.87,15
61,201508,AE 3145,G,3.46,14
62,201508,AE 3145,H,3.79,14
63,201508,AE 3145,I,3.88,8
64,201508,AE 3145,J,3.50,3
65,201508,AE 3310,A,2.56,80
66,201508,AE 3310,R,3.38,8
67,201508,AE 3355,CLA,4.00,3
68,201508,AE 3355,MAV,4.00,7
69,201508,AE 3515,A,1.87,35
70,201508,AE 3515,B,2.95,65
71,201508,AE 3521,A,3.12,65
72,201508,AE 3521,B,2.04,32
73,201508,AE 3801,A,3.50,2
74,201508,AE 3801,SEI,3.79,92
75,201508,AE 4220,A,2.63,66
76,201508,AE 4310,A,2.38,46
77,201508,AE 4350,A,3.35,49
78,201508,AE 4350,B,3.02,50
79,201508,AE 4355,CLA,4.00,2
80,201508,AE 4355,MAV,4.00,6
81,201508,AE 4357,A,3.24,34
82,201508,AE 4357,B,3.11,37
83,201508,AE 4358,A,3.60,16
84,201508,AE 4451,A,3.08,66
85,201508,AE 4451,B,2.91,59
86,201508,AE 4525,A,2.87,17
87,201508,AE 4525,B,3.19,17
88,201508,AE 4525,C,3.00,13
89,201508,AE 4525,D,3.23,14
90,201508,AE 4525,E,3.18,17
91,201508,AE 4699,BRA,4.00,2
92,201508,AE 4699,CLA,4.00,4
93,201508,AE 4699,COS,4.00,3
94,201508,AE 4699,CRA,4.00,1
95,201508,AE 4699,FEI,4.00,3
96,201508,AE 4699,FER,4.00,1
97,201508,AE 4699,GER,4.00,1
98,201508,AE 4699,GUN,4.00,17
99,201508,AE 4699,HOL,3.79,24
100,201508,AE 4699,JAG,4.00,1
101,201508,AE 4699,JOH,3.33,3
102,201508,AE 4699,KOM,4.00,6
103,201508,AE 4699,LIE,4.00,9
104,201508,AE 4699,LIG,4.00,1
105,201508,AE 4699,MAV,4.00,50
106,201508,AE 4699,MEN,4.00,1
107,201508,AE 4699,PRA,3.50,2
108,201508,AE 4699,PRI,4.00,2
109,201508,AE 4699,R,3.38,8
110,201508,AE 4699,RUZ,4.00,1
111,201508,AE 4699,SAL,4.00,2
112,201508,AE 4699,SAN,3.60,11
113,201508,AE 4699,SCH,4.00,2
114,201508,AE 4699,SEI,4.00,4
115,201508,AE 4699,SMI,4.00,4
116,201508,AE 4699,SPE,4.00,4
117,201508,AE 4699,SUN,4.00,2
118,201508,AE 4699,THE,4.00,1
119,201508,AE 4699,WAL,4.00,6
120,201508,AE 4699,ZIN,4.00,1
121,201508,AE 4701,A,3.85,22
122,201508,AE 4760,A,3.67,6
123,201508,AE 4791,A,4.00,5
124,201508,AE 4791,Q,4.00,1
125,201508,AE 4803,QJA,4.00,1
126,201508,AE 4803,SPE,3.76,35
127,201508,AE 6009,A,3.44,41
128,201508,AE 6009,Q,3.00,5
129,201508,AE 6030,A,3.73,26
130,201508,AE 6030,Q,4.00,3
131,201508,AE 6070,Q,4.00,8
132,201508,AE 6114,A,3.76,24
133,201508,AE 6230,A,3.50,21
134,201508,AE 6333,A,3.78,12
135,201508,AE 6333,Q,4.00,2
136,201508,AE 6343,A,3.76,60
137,201508,AE 6343,Q,3.67,3
138,201508,AE 6353,A,3.33,36
139,201508,AE 6353,Q,3.50,7
140,201508,AE 6372,A,4.00,36
141,201508,AE 6372,Q,4.00,14
142,201508,AE 6373,A,3.44,55
143,201508,AE 6373,Q,3.57,7
144,201508,AE 6383,MAV,4.00,44
145,201508,AE 6383,SCH,4.00,6
146,201508,AE 6410,A,3.61,18
147,201508,AE 6410,Q,4.00,3
148,201508,AE 6451,A,3.33,10
149,201508,AE 6530,A,2.86,31
150,201508,AE 6701,A,3.60,11
151,201508,AE 6701,Q,3.00,1
152,201508,AE 6721,A,3.70,10
153,201508,AE 6761,A,4.00,3
154,201508,AE 6765,A,3.34,52
155,201508,AE 6765,Q,3.67,6
156,201508,AE 6769,A,4.00,2
157,201508,AE 7772,A,3.75,6
158,201508,AE 7772,Q,4.00,1
