term,crn,section,credits,time,gpa,enrollment,difficulty,department,fName,lName
201702,24151,E,4,12:05 pm - 12:55 pm,3.92,17,1,RUSS,Tatiana,Kozhanova
201702,22906,UA,4,11:05 am - 11:55 am,3.63,9,1,RUSS,Natasha,Anthony
201702,21679,C,4,10:05 am - 10:55 am,3.89,11,1,RUSS,Natalia,Myshkin
201702,23577,E,4,12:05 pm - 12:55 pm,3.89,19,1,RUSS,Natalia,Myshkin
201702,22908,UA,4,4:05 pm - 4:55 pm,3.75,4,1,RUSS,Natasha,Anthony
201702,22098,G,3,2:05 pm - 2:55 pm,4,13,2,RUSS,Natalia,Myshkin
201702,26938,UA,3,5:05 pm - 5:55 pm,4,5,2,RUSS,Natasha,Anthony
201702,22099,E,3,12:05 pm - 12:55 pm,3.67,10,3,RUSS,Dina,Khapaeva
201702,30931,E,3,12:05 pm - 12:55 pm,4,1,3,RUSS,Dina,Khapaeva
201702,27593,G,3,2:05 pm - 2:55 pm,3.8,5,4,RUSS,Dina,Khapaeva
201702,23733,A1,3,3:05 pm - 3:55 pm,3.36,55,2,MSE,Mohan,Srinivasarao
201702,23735,C1,3,9:35 am - 10:55 am,3.34,141,2,MSE,Meisha,Shofner
201702,23736,D1,3,3:05 pm - 4:25 pm,3.08,83,2,MSE,Jung,Park
201702,23737,E1,3,10:05 am - 10:55 am,3.06,112,2,MSE,Faisal,Alamgir
201702,23738,F1,3,11:05 am - 11:55 am,3,91,2,MSE,Natalie,Stingelin
201702,25532,G1,3,9:35 am - 10:55 am,3.19,21,2,MSE,Valeria,Milam
201702,25875,H1,3,12:05 pm - 1:25 pm,3.42,98,2,MSE,Satish,Kumar
201702,26060,O,3,9:05 am - 9:55 am,3.29,103,2,MSE,Hamid,Garmestani
201702,25941,A,4,11:05 am - 11:55 am,3.17,12,2,MSE,Faisal,Alamgir
201702,25942,B,4,11:05 am - 11:55 am,3.33,12,2,MSE,Faisal,Alamgir
201702,25943,C,4,11:05 am - 11:55 am,3.4,10,2,MSE,Faisal,Alamgir
201702,25944,D,4,11:05 am - 11:55 am,3.22,9,2,MSE,Faisal,Alamgir
201702,26697,A,3,12:05 pm - 12:55 pm,2.8,45,3,MSE,Robert,Speyer
201702,20689,A,3,9:35 am - 10:55 am,2.55,40,3,MSE,Mark,Losego
201702,25946,A,3,2:05 pm - 2:55 pm,3.43,31,3,MSE,Christopher,Muhlstein
201702,22670,A,3,12:05 pm - 1:25 pm,3.33,48,3,MSE,Eric,Vogel
201702,22671,A,2,4:05 pm - 4:55 pm,3.83,19,3,MSE,Radhakrishnaiah,Parachuru
201702,26159,B,2,4:05 pm - 4:55 pm,3.91,23,3,MSE,Radhakrishnaiah,Parachuru
201702,27747,C,2,4:05 pm - 4:55 pm,3.79,19,3,MSE,Radhakrishnaiah,Parachuru
201702,27748,D,2,4:05 pm - 4:55 pm,3.84,21,3,MSE,Radhakrishnaiah,Parachuru
201702,26698,A,3,3:05 pm - 3:55 pm,3.36,31,3,MSE,Seung,Jang
201702,29334,A,3,10:05 am - 10:55 am,2.86,23,3,MSE,Robert,Speyer
201702,31291,B,3,5:05 pm - 5:55 pm,3.61,18,3,MSE,Sundaresan,Jayaraman
201702,25947,A,3,12:05 pm - 12:55 pm,3.05,20,3,MSE,Donggang,Yao
201702,25948,A,3,12:05 pm - 1:25 pm,3.5,29,3,MSE,Radhakrishnaiah,Parachuru
201702,30711,A,3,4:35 pm - 5:55 pm,3.67,11,4,MSE,Rosario,Gerhardt
201702,20690,A,3,11:05 am - 11:55 am,3.09,46,4,MSE,Arun,Gokhale
201702,20691,A,3,1:05 pm - 1:55 pm,3.15,43,4,MSE,Preet,Singh
201702,25874,A,3,12:05 pm - 1:25 pm,3.64,40,4,MSE,Vladimir,Tsukruk
201702,25876,A,3,2:05 pm - 2:55 pm,3.83,30,4,MSE,Mary,Realff
201702,27447,B,3,9:35 am - 10:55 am,3.76,33,4,MSE,Blair,Brettmann
201702,22260,A,3,9:35 am - 10:55 am,3.11,9,4,MSE,Johnna,Temenoff
201702,25006,A,3,12:05 pm - 12:55 pm,3.75,4,4,MSE,C,Wong
201702,31287,A,3,1:35 pm - 2:55 pm,4,2,4,MSE,Hailong,Chen
201702,23641,A,3,3:05 pm - 4:25 pm,3.42,37,4,MSE,Zhiqun,Lin
201702,21770,A,3,1:35 pm - 2:55 pm,3.38,29,4,MSE,Kyriaki,Kalaitzidou
201702,30143,B,3,3:05 pm - 3:55 pm,3.09,12,4,MSE,Kishor,Gupta
201702,26941,I,3,4:35 pm - 5:55 pm,3.67,10,4,MSE,Gleb,Yushin
201702,29244,R,3,10:05 am - 10:55 am,3.43,88,4,MSE,William,Ready
201702,30144,A,3,10:05 am - 10:55 am,3.58,24,6,MSE,Meilin,Liu
