"",A,B,C,D,F,I,S,U,V,W Aver. Total
Accounting - ACCT 2101 ES,22,7,7,2,,,1,,,1 3.29 40
Accounting - ACCT 2102 LS,6,7,2,,,,,,,2 3.27 17
Aerospace Engineering - AE 2020 A,10,21,8,,,,,,,1 3.05 40
Aerospace Engineering - AE 2220 A,26,7,4,,2,,1,,1,5 3.41 46
Aerospace Engineering - AE 2698 COS,,,,,,,,,1,1
Aerospace Engineering - AE 2698 SPE,,,,,,,,,3,3
Aerospace Engineering - AE 2699 KOM,1,,1,,,,,,,3.00 2
Aerospace Engineering - AE 2699 LIE,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 MAV,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 2699 SAN,,,,,1,,,,,0.00 1
Aerospace Engineering - AE 2699 SPE,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 2801 ROX,22,11,7,3,1,,,,,3.14 44
Aerospace Engineering - AE 3021 R,5,1,,,,,,,,3.83 6
Aerospace Engineering - AE 3310 A,23,4,3,,,,,,,1 3.67 31
Aerospace Engineering - AE 3310 R,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 3521 A,10,7,13,4,1,,,,,1 2.60 36
Aerospace Engineering - AE 3801 A,,,,1,,,,,,1.00 1
Aerospace Engineering - AE 4451 R,2,3,1,,,,,,,3.17 6
Aerospace Engineering - AE 4698 BRA,,,,,,,,,1,1
Aerospace Engineering - AE 4698 MAV,,,,,,,,,1,1
Aerospace Engineering - AE 4698 PRA,,,,,,,,,1,1
Aerospace Engineering - AE 4698 SEI,,,,,,,,,1,1
Aerospace Engineering - AE 4698 SMI,,,,,,,,,1,1
Aerospace Engineering - AE 4699 CLA,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 4699 COS,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 FER,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 GER,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 HOD,1,,1,,,,,,,3.00 2
Aerospace Engineering - AE 4699 KOM,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 LIE,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 MAV,9,,,,,,,,,4.00 9
Aerospace Engineering - AE 4699 MEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 PRI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 RIM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 RSA,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 4699 RSE,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 SCA,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 SCH,1,,,,,,,,,4.00 1
