"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Accounting - ACCT 2101 A,19,12,7,3,1,,,,,5 3.07 47
Accounting - ACCT 2101 B,12,36,11,4,3,,,,,4 2.76 70
Accounting - ACCT 2101 C,12,12,15,4,4,,,,,8 2.51 55
Accounting - ACCT 2101 D,31,29,3,2,,,,,,3 3.37 68
Accounting - ACCT 2101 E,32,27,6,2,1,,,,,1 3.28 69
Accounting - ACCT 2102 A,37,15,6,2,1,,,,,4 3.39 65
Accounting - ACCT 2102 B,26,21,14,2,2,,,,,4 3.03 69
Accounting - ACCT 2102 C,19,10,4,,,,1,,,4 3.45 38
Aerospace Engineering - AE 1355 CLA,13,,,,,,,,,1 4.00 14
Aerospace Engineering - AE 1355 MAV,14,,,,,,,,,4.00 14
Aerospace Engineering - AE 1601 A,22,11,1,,,,,,,3.62 34
Aerospace Engineering - AE 1601 B,33,1,1,,,,,,,3.91 35
Aerospace Engineering - AE 1601 C,14,18,2,,,,,,,2 3.35 36
Aerospace Engineering - AE 2010 A,15,20,10,6,1,,,,,3 2.81 55
Aerospace Engineering - AE 2010 B,16,26,11,2,3,,,,,9 2.86 67
Aerospace Engineering - AE 2220 A,30,11,8,3,4,,,,,6 3.07 62
Aerospace Engineering - AE 2220 B,18,16,6,1,,,,,,6 3.24 47
Aerospace Engineering - AE 2220 R,7,7,,,,,,,,3.50 14
Aerospace Engineering - AE 2355 CLA,8,,,,,,,,,4.00 8
Aerospace Engineering - AE 2355 MAV,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 2610 A,6,6,1,,,,,,,3.38 13
Aerospace Engineering - AE 2610 B,5,8,4,,,,,,,1 3.06 18
Aerospace Engineering - AE 2610 C,7,3,,,,,,,,2 3.70 12
Aerospace Engineering - AE 2610 D,7,2,5,,,,,,,2 3.14 16
Aerospace Engineering - AE 2610 E,2,3,,,,,,,,3.40 5
Aerospace Engineering - AE 2611 A,41,13,1,1,,,,,,5 3.68 61
Aerospace Engineering - AE 2698 MAV,,,,,,,,,5,5
Aerospace Engineering - AE 2699 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 COS,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 FEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 HOL,6,,,,,,,,,1 4.00 7
Aerospace Engineering - AE 2699 KOM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 LIE,3,,,,,,,,,4.00 3
