"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Accounting - ACCT 2101 A,9,6,8,2,3,,,,,3 2.57 31
Accounting - ACCT 2101 B,25,27,9,2,,,,,,1 3.19 64
Accounting - ACCT 2101 C,18,28,8,1,3,,1,,,2 2.98 61
Accounting - ACCT 2101 D,28,25,5,2,,,1,,,4 3.32 65
Accounting - ACCT 2101 E,26,25,8,1,,,,,,4 3.27 64
Accounting - ACCT 2102 A,30,19,12,7,,,,,,3 3.06 71
Accounting - ACCT 2102 B,26,31,10,3,,,1,,,4 3.14 75
Accounting - ACCT 2102 C,17,15,3,2,,,,,,3.27 37
Aerospace Engineering - AE 1355 CLA,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 1355 MAV,11,,,,,,,,,4.00 11
Aerospace Engineering - AE 1601 A,31,11,1,,,,,,,1 3.70 44
Aerospace Engineering - AE 1601 B,37,2,,2,,,,,,1 3.80 42
Aerospace Engineering - AE 1601 C,35,6,,,,,,,,1 3.85 42
Aerospace Engineering - AE 2010 A,16,17,18,8,2,,,,,5 2.61 66
Aerospace Engineering - AE 2010 B,16,11,25,3,2,,,,,6 2.63 63
Aerospace Engineering - AE 2220 A,18,22,8,1,2,,,,,3 3.04 54
Aerospace Engineering - AE 2220 B,12,16,14,3,,,,,,7 2.82 52
Aerospace Engineering - AE 2220 R,6,4,,,,,,,,3.60 10
Aerospace Engineering - AE 2355 CLA,2,5,,,,,,,,3.29 7
Aerospace Engineering - AE 2355 MAV,9,,,,,,,,,4.00 9
Aerospace Engineering - AE 2610 A,9,7,1,,1,,,,,2 3.28 20
Aerospace Engineering - AE 2610 B2,15,4,,,,,,,,1 3.79 20
Aerospace Engineering - AE 2610 C,4,9,,,,,,,1,1 3.31 15
Aerospace Engineering - AE 2610 D,16,3,,,,,,,,1 3.84 20
Aerospace Engineering - AE 2610 E,13,6,1,,,,,,,3.60 20
Aerospace Engineering - AE 2611 A,75,8,5,,,,,,,3 3.80 91
Aerospace Engineering - AE 2698 MAV,,,,,,,,,1,1
Aerospace Engineering - AE 2699 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 COS,4,1,,,,,,,,3.80 5
Aerospace Engineering - AE 2699 FEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 GUN,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 2699 HOL,3,,,,,,,,,1 4.00 4
Aerospace Engineering - AE 2699 JOH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 LIE,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 MAV,21,,,,,,,,,4.00 21
Aerospace Engineering - AE 2699 RIM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 SAN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 SPE,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 WAL,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2801 A,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 2802 A,1,1,2,,,,,,,2.75 4
Aerospace Engineering - AE 2802 B,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 3021 A,12,4,4,,4,,,,,2 2.83 26
Aerospace Engineering - AE 3021 B,24,22,28,7,6,,,,,3 2.59 90
Aerospace Engineering - AE 3051 A,8,5,4,,1,,,,,3.06 18
Aerospace Engineering - AE 3051 B,8,10,,,,,,,,3.44 18
Aerospace Engineering - AE 3051 C,9,5,3,,,,,,,1 3.35 18
Aerospace Engineering - AE 3051 D,9,4,1,2,1,,,,,1 3.06 18
Aerospace Engineering - AE 3051 E,8,5,3,,1,,,,,3.12 17
Aerospace Engineering - AE 3051 F,9,8,2,1,,,,,,3.25 20
Aerospace Engineering - AE 3051 G,6,3,1,1,,,,,,3.27 11
Aerospace Engineering - AE 3051 H,6,4,,,,,,,,3.60 10
Aerospace Engineering - AE 3051 I,4,2,3,,1,,,,,2.80 10
Aerospace Engineering - AE 3051 J,9,,1,,,,,,,3.80 10
Aerospace Engineering - AE 3051 K,3,5,1,,,,,,,3.22 9
Aerospace Engineering - AE 3051 L,,1,1,,,,,,1,2.50 3
Aerospace Engineering - AE 3125 A,18,22,16,,1,,,,,2 2.98 59
Aerospace Engineering - AE 3125 B,18,15,13,7,2,,,,,2 2.73 57
Aerospace Engineering - AE 3125 B,A,B,C,D,F,I,S,U,V,W Aver. Tota
Aerospace Engineering - AE 3145 A,18,3,,1,,,,,,3.73 22
Aerospace Engineering - AE 3145 B,15,5,1,,,,,,,1 3.67 22
Aerospace Engineering - AE 3145 C,17,4,,,1,,,,,3.64 22
Aerospace Engineering - AE 3145 D,16,6,,,,,,,,3.73 22
Aerospace Engineering - AE 3145 E,6,3,1,1,,,,,,2 3.27 13
Aerospace Engineering - AE 3145 F,13,2,,1,,,,,,3.69 16
Aerospace Engineering - AE 3145 G,8,3,,,,,,,,3.73 11
Aerospace Engineering - AE 3145 H,8,1,,,1,,,,,3.50 10
Aerospace Engineering - AE 3145 I,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 3310 A,14,7,3,1,,,,,,1 3.36 26
Aerospace Engineering - AE 3310 B,8,6,2,,1,,,,,3.18 17
Aerospace Engineering - AE 3310 R,3,,,,,,,,,4.00 3
