"",A,B,C,D,F,I,S,U,V,W Aver. Total
Accounting - ACCT 2101 ES,7,5,5,1,,,,,,3 3.00 21
Accounting - ACCT 2102 LS,9,5,1,3,,,,,,1 3.11 19
Aerospace Engineering - AE 2010 A,6,3,5,2,,,,,,2.81 16
Aerospace Engineering - AE 2220 A,3,6,1,,,,,,,1 3.20 11
Aerospace Engineering - AE 2698 MAV,,,,,,,,,2,2
Aerospace Engineering - AE 2698 SEI,,,,,,,,,2,2
Aerospace Engineering - AE 2699 GER,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 JOH,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 2699 KOM,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 2699 LIE,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2699 SAN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2801 R,19,8,4,,1,,,,,3.38 32
Aerospace Engineering - AE 2802 A,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 3030 R,21,6,,,,,,,,3.78 27
Aerospace Engineering - AE 3310 A,3,1,,1,,,,,,2 3.20 7
Aerospace Engineering - AE 3330 R,13,7,,,,,,,,3.65 20
Aerospace Engineering - AE 3521 A,15,4,1,1,1,,,,,3.41 22
Aerospace Engineering - AE 4070 R,10,6,2,,,,,,,3.44 18
Aerospace Engineering - AE 4451 R,11,8,4,,,,,,,3.30 23
Aerospace Engineering - AE 4698 GUN,,,,,,,,,1,1
Aerospace Engineering - AE 4698 HOL,,,,,,,,,1,1
Aerospace Engineering - AE 4698 KEN,,,,,,,,,1,1
Aerospace Engineering - AE 4698 MAV,,,,,,,,,3,3
Aerospace Engineering - AE 4698 SCH,,,,,,,,,1,1
Aerospace Engineering - AE 4699 BRA,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 GUN,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 4699 HOL,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 4699 KOM,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 MAV,8,,,,,,,,,4.00 8
Aerospace Engineering - AE 4699 MEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 RGR,10,,,,,,,,,4.00 10
Aerospace Engineering - AE 4699 RSA,4,2,,,,,,,,3.67 6
Aerospace Engineering - AE 4699 SAL,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SAN,,,1,,,,,,,2.00 1
Aerospace Engineering - AE 4699 SCH,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SUN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 WAL,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 ZIN,2,,,,,,,,,4.00 2
