"",A,B,C,D,F,I,S,U,V,W Aver. Tota
Accounting - ACCT 2101 TSA,26,29,5,3,3,,,,,3.09 66
Accounting - ACCT 2101 TSB,6,12,4,2,,,,,,5 2.92 29
Accounting - ACCT 2101 TSC,7,13,7,3,1,,,,1,3 2.71 35
Accounting - ACCT 2101 TSD,26,30,8,1,1,,1,,,2 3.20 69
Accounting - ACCT 2101 TSE,31,26,7,,2,,1,,,1 3.27 68
Accounting - ACCT 2102 TSA,28,31,8,3,,,,,,2 3.20 72
Accounting - ACCT 2102 TSB,23,19,6,5,,,,,,4 3.13 57
Accounting - ACCT 2102 TSC,21,28,12,2,1,,,,,3 3.03 67
Aerospace Engineering - AE 1355 CLA,9,,,,,,,,,4.00 9
Aerospace Engineering - AE 1355 MA2,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 1355 MAV,13,2,,,,,,,,3.87 15
Aerospace Engineering - AE 1601 A,30,7,3,,,,,,,1 3.68 41
Aerospace Engineering - AE 1601 B,24,9,3,1,,,,,,2 3.51 39
Aerospace Engineering - AE 1601 C,26,15,1,,,,,,,5 3.60 47
Aerospace Engineering - AE 2020 A,16,21,6,1,1,,,,,3 3.11 48
Aerospace Engineering - AE 2020 B,12,13,24,9,2,,,,,3 2.40 63
Aerospace Engineering - AE 2020 C,,,,,,,1,,,1 2
Aerospace Engineering - AE 2220 A,12,27,6,1,,,,,,3 3.09 49
Aerospace Engineering - AE 2220 B,23,12,9,2,6,,,,,2.85 52
Aerospace Engineering - AE 2355 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2355 MA2,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 2355 MAV,7,,,,,,,,,4.00 7
Aerospace Engineering - AE 2699 COS,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 2699 FEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 HOL,9,,,,,,,,,4.00 9
Aerospace Engineering - AE 2699 LIE,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 2699 MAV,16,,,,,,,,,1 4.00 17
Aerospace Engineering - AE 2699 RIM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 RUZ,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 SAL,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 SCA,7,,,,,,,,,1 4.00 8
Aerospace Engineering - AE 2699 SMI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 2699 SPE,18,1,1,,,,,,,3.85 20
Aerospace Engineering - AE 2699 THE,1,,,,,,,,,1 4.00 2
Aerospace Engineering - AE 2699 ZIN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 3021 A,41,16,4,3,2,,,,,2 3.38 68
Aerospace Engineering - AE 3021 B,21,15,9,3,5,,,,,5 2.83 58
Aerospace Engineering - AE 3051 A,5,6,1,,,,,,,3.33 12
Aerospace Engineering - AE 3051 B,6,5,,1,,,,,,3.33 12
Aerospace Engineering - AE 3051 C,7,3,2,,,,,,,3.42 12
Aerospace Engineering - AE 3051 D,5,2,4,,,,,,,3.09 11
Aerospace Engineering - AE 3051 E,5,6,1,,,,,,,3.33 12
Aerospace Engineering - AE 3051 F,7,3,2,,,,,,,3.42 12
Aerospace Engineering - AE 3051 G,7,5,,,,,,,,3.58 12
Aerospace Engineering - AE 3090 A,19,2,,2,,,,,,6 3.65 29
Aerospace Engineering - AE 3125 A,48,17,10,1,,,,,,1 3.47 77
Aerospace Engineering - AE 3145 A,10,4,,,1,,,,,1 3.47 16
Aerospace Engineering - AE 3145 B,13,2,,,,,,,,1 3.87 16
Aerospace Engineering - AE 3145 C,12,3,1,,,,,,,3.69 16
Aerospace Engineering - AE 3145 D,14,2,,,,,,,,3.88 16
Aerospace Engineering - AE 3145 E,8,5,1,,,,,,,3.50 14
Aerospace Engineering - AE 3310 A,17,17,19,5,,,,,,4 2.79 62
Aerospace Engineering - AE 3310 R,2,3,2,,,,,,,3.00 7
Aerospace Engineering - AE 3355 CLA,1,,,,,,,,,1 4.00 2
Aerospace Engineering - AE 3355 MA2,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 3355 MAV,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 3450 A,16,19,21,7,4,,,,,2 2.54 69
Aerospace Engineering - AE 3450 B,11,26,10,1,3,,,,,3 2.80 54
Aerospace Engineering - AE 3450 B,1A1,2B6,1C0,D1,3F,I,S,U,V,W3 A2v.e8r0. To5ta4
Aerospace Engineering - AE 3450 R,7,1,1,1,,,,,,3.40 10
Aerospace Engineering - AE 3515 A,26,13,8,4,5,,,,,1 2.91 57
Aerospace Engineering - AE 3515 B,13,12,13,3,3,,,,,2 2.66 46
Aerospace Engineering - AE 3521 A,17,20,9,1,,,,,,1 3.13 48
Aerospace Engineering - AE 3521 B,10,9,2,3,7,,,,,2 2.39 33
Aerospace Engineering - AE 3801 A,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 3801 SEI,30,14,2,1,,,,,,1 3.55 48
Aerospace Engineering - AE 4220 A,14,14,18,6,4,,,,1,2 2.50 59
Aerospace Engineering - AE 4310 A,11,17,3,5,1,,,1,,6 2.86 44
Aerospace Engineering - AE 4350 A,18,11,4,2,1,,,,,3.19 36
Aerospace Engineering - AE 4350 B,13,10,8,1,,,,,,3.09 32
Aerospace Engineering - AE 4350 IP,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4350 IP3,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4355 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4355 MA2,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4355 MAV,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4357 A,11,18,,,,,,,,3.38 29
Aerospace Engineering - AE 4357 B,9,8,,,,,,,,3.53 17
Aerospace Engineering - AE 4357 IP,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4358 A,10,7,1,1,,,,,,3.37 19
Aerospace Engineering - AE 4451 A,16,13,14,5,2,,,,,2.72 50
Aerospace Engineering - AE 4451 B,15,9,13,6,4,,,1,,2.53 48
Aerospace Engineering - AE 4525 A,2,9,4,,,,,,,2.87 15
Aerospace Engineering - AE 4525 B,3,6,7,,,,,,,2.75 16
Aerospace Engineering - AE 4525 C,5,5,6,,,,,,,2.94 16
Aerospace Engineering - AE 4525 D,4,3,6,1,,,,,,2.71 14
Aerospace Engineering - AE 4525 E,6,8,1,,,,,,,3.33 15
Aerospace Engineering - AE 4698 BRA,,,,,,,,,4,4
Aerospace Engineering - AE 4698 HOL,,,,,,,,,1,1
Aerospace Engineering - AE 4698 LIE,,,,,,,,,1,1
Aerospace Engineering - AE 4698 MAV,,,,,,,,,1,1 2
Aerospace Engineering - AE 4698 SMI,,,,,,,,,1,1
Aerospace Engineering - AE 4698 SUN,,,,,,,,,1,1
Aerospace Engineering - AE 4698 YAN,,,,,,,,,1,1
Aerospace Engineering - AE 4699 BRA,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 CLA,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 COS,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 FEI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 FER,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 4699 GER,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4699 GUN,6,1,,,,,,,,3.86 7
Aerospace Engineering - AE 4699 HOD,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 HOL,16,,,,,,,,,2 4.00 18
Aerospace Engineering - AE 4699 JAG,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 JOH,1,2,,,,,,,,3.33 3
Aerospace Engineering - AE 4699 KEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 KOM,7,1,2,,,,,,,1 3.50 11
Aerospace Engineering - AE 4699 LIE,4,,,,,,,,,4.00 4
Aerospace Engineering - AE 4699 MAV,54,,,,,,,,,4.00 54
Aerospace Engineering - AE 4699 MEN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 PRA,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 4699 PRI,,1,,,,,,,,3.00 1
Aerospace Engineering - AE 4699 R2,2,1,,,,,,,,3.67 3
Aerospace Engineering - AE 4699 RIM,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SAL,3,,,,,,,,,4.00 3
Aerospace Engineering - AE 4699 SAN,2,,,,,,,,,4.00 2
Aerospace Engineering - AE 4699 SCA,6,,,,,,,,,4.00 6
Aerospace Engineering - AE 4699 SCH,5,,,,,,,,,4.00 5
Aerospace Engineering - AE 4699 SCH,A5,B,C,D,F,I,S,U,V,W A4v.e0r0. Tota5
Aerospace Engineering - AE 4699 SEI,1,1,,,,,,,,1 3.50 3
Aerospace Engineering - AE 4699 SMI,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4699 SPE,21,,,,,,,,,4.00 21
Aerospace Engineering - AE 4699 SUN,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 4699 WAL,2,1,,,,,,,,1 3.67 4
Aerospace Engineering - AE 4699 ZIN,1,,,,,,,,,4.00 1
Aerospace Engineering - AE 4760 A,2,2,,,1,,1,,,1 2.80 7
Aerospace Engineering - AE 4791 A,9,2,1,,,,,,,3.67 12
Aerospace Engineering - AE 4791 Q,1,1,,,,,,,,3.50 2
Aerospace Engineering - AE 6009 A,26,13,14,2,1,,,,2,4 3.09 62
Aerospace Engineering - AE 6009 Q,2,,,,,,,,,1 4.00 3
Aerospace Engineering - AE 6070 Q,9,1,,,,,,,,3.90 10
