,index_x,term,name,crn,course_num,section,credits,time,prof,index_y,gpa,enrollment
0,0,201702,Elementary Russian I,24151,RUSS 1001,E,4.0,12:05 pm - 12:55 pm,Tatiana   Kozhanova ,,,
1,1,201702,Elementary Russian I,22904,RUSS 1001,U,4.0,11:05 am - 11:55 am,Natasha   Anthony ,,,
2,2,201702,Elementary Russian I,22906,RUSS 1001,UA,4.0,11:05 am - 11:55 am,Natasha   Anthony ,,,
3,3,201702,Elementary Russian II,21679,RUSS 1002,C,4.0,10:05 am - 10:55 am,Natalia V  Myshkin ,,,
4,4,201702,Elementary Russian II,23577,RUSS 1002,E,4.0,12:05 pm - 12:55 pm,Natalia V  Myshkin ,,,
5,5,201702,Elementary Russian II,22907,RUSS 1002,U,4.0,4:05 pm - 4:55 pm,Natasha   Anthony ,,,
6,6,201702,Elementary Russian II,22908,RUSS 1002,UA,4.0,4:05 pm - 4:55 pm,Natasha   Anthony ,,,
7,7,201702,Intermediate Russian II,22098,RUSS 2002,G,3.0,2:05 pm - 2:55 pm,Natalia V  Myshkin ,,,
8,8,201702,Intermediate Russian II,26937,RUSS 2002,U,3.0,5:05 pm - 5:55 pm,Natasha   Anthony ,,,
9,9,201702,Intermediate Russian II,26938,RUSS 2002,UA,3.0,5:05 pm - 5:55 pm,Natasha   Anthony ,,,
10,10,201702,Advanced Russian II,22099,RUSS 3002,E,3.0,12:05 pm - 12:55 pm,Dina   Khapaeva ,,,
11,11,201702,Russian for Herit Spkrs,30931,RUSS 3005,E,3.0,12:05 pm - 12:55 pm,Dina   Khapaeva ,8553.0,4.0,1.0
12,12,201702,Intercultural Seminar,27593,RUSS 4500,G,3.0,2:05 pm - 2:55 pm,Dina   Khapaeva ,,,
13,13,201702,Intro-Environmental Sci,20714,EAS 1600,A,4.0,1:35 pm - 2:55 pm,Nicole Beth  Lopanik ,,,
14,14,201702,Habitable Planet,20305,EAS 1601,A,4.0,12:05 pm - 1:25 pm,Britney Elyce  Schmidt ,,,
15,15,201702,Environmental Measures,30178,EAS 2420,A,3.0,3:05 pm - 4:25 pm,Michael Eppard  Chang ,,,
16,16,201702,Earth Processes,21418,EAS 2600,A,4.0,9:35 am - 10:55 am,Meg Camille  Grantham ,,,
17,17,201702,Quantitative Techniques,26694,EAS 2655,A,3.0,10:05 am - 10:55 am,Takamitsu   Ito ,,,
18,18,201702,Special Topics,30900,EAS 2803,SLS,3.0,12:05 pm - 1:25 pm,Latife Beril  Toktay-Tsiotras ,,,
19,19,201702,"Energy, Environ, Society",27493,EAS 3110,A,3.0,3:05 pm - 4:25 pm,Kim M  Cobb ,,,
20,20,201702,Structural Geology,30169,EAS 4200,A,4.0,1:35 pm - 2:55 pm,Kenneth Leslie  Ferrier ,,,
21,21,201702,Paleoclim & Paleocean,30174,EAS 4350,A,3.0,12:05 pm - 1:25 pm,Jean   Lynch-Stieglitz ,,,
22,22,201702,Space Physics & Instrum.,30171,EAS 4360,A,3.0,11:05 am - 11:55 am,Carol S  Paty ,,,
23,23,201702,Environmental Field Meth,26693,EAS 4420,A,4.0,10:05 am - 10:55 am,Martial   Taillefert ,,,
24,24,201702,Synoptic Meteorology,21046,EAS 4450,A,3.0,11:05 am - 11:55 am,Mark Thomas  Jelinek ,,,
25,25,201702,Environ Data Analysis,24088,EAS 4480,A,3.0,1:35 pm - 2:55 pm,Yuhang   Wang ,,,
26,26,201702,Earth System Modeling,30167,EAS 4610,A,3.0,9:35 am - 10:55 am,Sven   Simon ,,,
27,27,201702,Atmospheric Dynamics II,28522,EAS 4670,A,3.0,3:05 pm - 4:25 pm,Yi   Deng ,,,
28,28,201702,Atmospheric Chemistry,21681,EAS 4740,A,3.0,12:05 pm - 1:25 pm,Nga Lee   Ng ,,,
29,29,201702,Special Topics,22498,EAS 4801,CP,1.0,4:35 pm - 5:55 pm,James J  Wray ,,,
30,30,201702,Special Topics,27429,EAS 4801,JD,1.0,12:05 pm - 12:55 pm,Josef D  Dufek ,,,
31,31,201702,Special Topics,25954,EAS 4803,JD1,3.0,9:35 am - 10:55 am,Josef D  Dufek ,,,
32,32,201702,Special Topics,30161,EAS 4803,JD2,3.0,12:05 pm - 1:25 pm,Josef D  Dufek ,,,
33,33,201702,Special Topics,30165,EAS 4803,YT,3.0,3:05 pm - 4:25 pm,Yuangzhi   Tang ,,,
34,34,201702,Environment Field Method,27206,EAS 6120,A,4.0,10:05 am - 10:55 am,Martial   Taillefert ,,,
35,35,201702,Earth System Modeling,30168,EAS 6130,A,3.0,9:35 am - 10:55 am,Sven   Simon ,,,
36,36,201702,Paleoclim & Paleocean,30175,EAS 6136,A,3.0,12:05 pm - 1:25 pm,Jean   Lynch-Stieglitz ,,,
37,37,201702,Isotope Geochemistry,30173,EAS 6216,A,3.0,9:05 am - 9:55 am,Christopher   Reinhard ,,,
38,38,201702,Structural Geology,30170,EAS 6320,A,4.0,1:35 pm - 2:55 pm,Kenneth Leslie  Ferrier ,,,
39,39,201702,Space Physics & Instrum.,30172,EAS 6360,A,3.0,11:05 am - 11:55 am,Carol S  Paty ,,,
40,40,201702,Atmospheric Dynamics II,28665,EAS 6670,A,3.0,3:05 pm - 4:25 pm,Yi   Deng ,,,
41,41,201702,Atmospheric Aerosols,30166,EAS 6795,A,3.0,11:05 am - 11:55 am,Rodney J.  Weber ,,,
42,42,201702,Special Topics,25955,EAS 8803,JD1,3.0,9:35 am - 10:55 am,Josef D  Dufek ,,,
43,43,201702,Special Topics,30164,EAS 8803,JD2,3.0,12:05 pm - 1:25 pm,Josef D  Dufek ,,,
44,44,201702,Special Topics,30187,EAS 8803,YT,3.0,3:05 pm - 4:25 pm,Yuangzhi   Tang ,,,
45,45,201702,"Adv Topics SE', 'SysML",26829,ASE 6005,Q,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Russell Speights  Peak ,,,
46,46,201702,System of Systems & Arch,25515,ASE 6102,Q,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Tommer Rafael  Ender ,,,
47,47,201702,System Lifecycle & Integ,25516,ASE 6103,Q,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Gary Sean  O'Neill ,,,
48,48,201702,Prin&Appl-Engr Materials,23733,MSE 2001,A1,3.0,3:05 pm - 3:55 pm,Mohan   Srinivasarao ,,,
49,49,201702,Prin&Appl-Engr Materials,23735,MSE 2001,C1,3.0,9:35 am - 10:55 am,Meisha L  Shofner ,,,
50,50,201702,Prin&Appl-Engr Materials,23736,MSE 2001,D1,3.0,3:05 pm - 4:25 pm,Jung O  Park ,,,
51,51,201702,Prin&Appl-Engr Materials,23737,MSE 2001,E1,3.0,10:05 am - 10:55 am,Faisal   Alamgir ,,,
52,52,201702,Prin&Appl-Engr Materials,23738,MSE 2001,F1,3.0,11:05 am - 11:55 am,Natalie   Stingelin ,,,
53,53,201702,Prin&Appl-Engr Materials,25532,MSE 2001,G1,3.0,9:35 am - 10:55 am,Valeria   Milam ,,,
54,54,201702,Prin&Appl-Engr Materials,25875,MSE 2001,H1,3.0,12:05 pm - 1:25 pm,Satish   Kumar ,,,
55,55,201702,Prin&Appl-Engr Materials,26060,MSE 2001,O,3.0,9:05 am - 9:55 am,Hamid   Garmestani ,,,
56,56,201702,Prin&Appl-Engr Materials,26887,MSE 2001,R,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",Thomas H  Sanders ,,,
57,57,201702,Prin&Appl-Engr Materials,25441,MSE 2001,R2,3.0,"<ABBR title = ""To Be Announced"">TBA</ABBR>",William Brent  Carter ,,,
58,58,201702,Matls Characterization,25941,MSE 2021,A,4.0,11:05 am - 11:55 am,Faisal   Alamgir ,,,
59,59,201702,Matls Characterization,25942,MSE 2021,B,4.0,11:05 am - 11:55 am,Faisal   Alamgir ,,,
60,60,201702,Matls Characterization,25943,MSE 2021,C,4.0,11:05 am - 11:55 am,Faisal   Alamgir ,,,
61,61,201702,Matls Characterization,25944,MSE 2021,D,4.0,11:05 am - 11:55 am,Faisal   Alamgir ,,,
62,62,201702,Matls Characterization,25945,MSE 2021,E,4.0,11:05 am - 11:55 am,Faisal   Alamgir ,,,
63,63,201702,Chemical Thermo-Material,26697,MSE 3001,A,3.0,12:05 pm - 12:55 pm,Robert F  Speyer ,,,
64,64,201702,"Strct Trans-Met,Cer&Poly",20689,MSE 3002,A,3.0,9:35 am - 10:55 am,Mark D  Losego ,,,
65,65,201702,Mech Behavior-Materials,25946,MSE 3005,A,3.0,2:05 pm - 2:55 pm,Christopher Lado  Muhlstein ,,,
66,66,201702,"Elec,Optical&Magnet Prop",22670,MSE 3015,A,3.0,12:05 pm - 1:25 pm,Eric M  Vogel ,,,
67,67,201702,Materials Laboratory I,22671,MSE 3021,A,2.0,4:05 pm - 4:55 pm,Radhakrishnaiah   Parachuru ,,,
68,68,201702,Materials Laboratory I,26159,MSE 3021,B,2.0,4:05 pm - 4:55 pm,Radhakrishnaiah   Parachuru ,,,
69,69,201702,Materials Laboratory I,27747,MSE 3021,C,2.0,4:05 pm - 4:55 pm,Radhakrishnaiah   Parachuru ,,,
70,70,201702,Materials Laboratory I,27748,MSE 3021,D,2.0,4:05 pm - 4:55 pm,Radhakrishnaiah   Parachuru ,,,
71,71,201702,Stats&Numerical Methods,26698,MSE 3025,A,3.0,3:05 pm - 3:55 pm,Seung Soon   Jang ,,,
72,72,201702,Transport Phenomena,29334,MSE 3210,A,3.0,10:05 am - 10:55 am,Robert F  Speyer ,,,
73,73,201702,Operations & Mgt Methods,31291,MSE 3220,B,3.0,5:05 pm - 5:55 pm,Sundaresan   Jayaraman ,8421.0,3.61,18.0
74,74,201702,Polymer & Fiber Process,25947,MSE 3230,A,3.0,12:05 pm - 12:55 pm,Donggang   Yao ,,,
75,75,201702,Intro Poly/Fib Enterpris,25948,MSE 3720,A,3.0,12:05 pm - 1:25 pm,Radhakrishnaiah   Parachuru ,,,
76,76,201702,Materials-Electronic App,30711,MSE 4004,A,3.0,4:35 pm - 5:55 pm,Rosario A  Gerhardt ,,,
77,77,201702,Process&Apps-Engr Alloys,20690,MSE 4006,A,3.0,11:05 am - 11:55 am,Arun M  Gokhale ,,,
78,78,201702,Environ Degradation,20691,MSE 4010,A,3.0,1:05 pm - 1:55 pm,Preet M  Singh ,,,
