,categoryType,contentType,institution_name,overall_rating,rating_class,tDept,tFname,tLname,tMiddlename,tNumRatings,tSid,tid
0,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Nuclear Engineering,Said,Abdel-Khalik,,1,361,1624308
1,PROFESSOR,TEACHER,Georgia Institute of Technology,4.1,good,Computer Science,Gregory,Abowd,,8,361,486880
2,PROFESSOR,TEACHER,Georgia Institute of Technology,1.4,poor,Mathematics,Omar,Abuzzahab,,4,361,1865658
3,PROFESSOR,TEACHER,Georgia Institute of Technology,3.5,good,Psychology,Phillip,Ackerman,,4,361,10621
4,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Biology,Lisa,Adams,,2,361,784489
5,PROFESSOR,TEACHER,Georgia Institute of Technology,2.7,average,Psychology,Anne,Adams,E,3,361,1866279
6,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,English,James,Addcox,Stephen,1,361,2319846
7,PROFESSOR,TEACHER,Georgia Institute of Technology,4.4,good,Electrical Engineering,Ali,Adibi,,5,361,644478
8,PROFESSOR,TEACHER,Georgia Institute of Technology,4.1,good,Literature,Matthew,Adkins,,7,361,1446193
9,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,ROTC,John-Paul,Adrian,,1,361,1615965
10,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,English,Ian,Afflerbach,,7,361,2188410
11,PROFESSOR,TEACHER,Georgia Institute of Technology,3.7,good,Chemical Engineering,Pradeep,Agrawal,,3,361,1916030
12,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Management,Shanti,Agung,,1,361,1738423
13,PROFESSOR,TEACHER,Georgia Institute of Technology,2.4,poor,Computer Science,Mustaq,Ahamad,,9,361,146559
14,PROFESSOR,TEACHER,Georgia Institute of Technology,4.2,good,Mathematics,Anar,Ahmadov,,5,361,1016811
15,PROFESSOR,TEACHER,Georgia Institute of Technology,3.8,good,Economics,Mishal,Ahmed,,7,361,2178724
16,PROFESSOR,TEACHER,Georgia Institute of Technology,3.8,good,Aerospace Engineering,Krishan,Ahuja,K,3,361,1871192
17,PROFESSOR,TEACHER,Georgia Institute of Technology,1.0,poor,Mechanical Engineering,Cyrus,Aidun,,1,361,2393281
18,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Electrical Engineering,Ian,Akiyldiz,,0,361,1373896
19,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Engineering,Tuba,Aktaran,,1,361,727743
20,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Electrical Engineering,Ian,Akyildiz,F.,2,361,2010033
21,PROFESSOR,TEACHER,Georgia Institute of Technology,3.7,good,Materials Engineering,Faisal,Alamgir,,33,361,1440997
22,PROFESSOR,TEACHER,Georgia Institute of Technology,3.6,good,Mathematics,Silas,Alben,,6,361,1470372
23,PROFESSOR,TEACHER,Georgia Institute of Technology,2.7,average,"Literature, Media, & Communication",Joseph,Aldinger,,3,361,2354190
24,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Music,Donald,Allen,,2,361,1248013
25,PROFESSOR,TEACHER,Georgia Institute of Technology,4.5,good,English,Kristin,Allukian,,8,361,2024538
26,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Mathematics,Sergio,Almada,,2,361,1497212
27,PROFESSOR,TEACHER,Georgia Institute of Technology,3.3,average,English,Maria,Almanza,,6,361,2314023
28,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Spanish,Paul,Alonso,,3,361,2005929
29,PROFESSOR,TEACHER,Georgia Institute of Technology,3.5,good,Electrical Engineering,Ghassan,Alregib,,2,361,2058018
30,PROFESSOR,TEACHER,Georgia Institute of Technology,4.8,good,Technology,Andrew,Altizer,,2,361,1304817
31,PROFESSOR,TEACHER,Georgia Institute of Technology,3.6,good,Engineering,Yucel,Altunbasak,,7,361,287971
32,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,English,Alok,Amatya,,0,361,2467364
33,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Civil Engineering,Adjo,Amekudzi,,9,361,1709580
34,PROFESSOR,TEACHER,Georgia Institute of Technology,4.7,good,English,Alexander,Ames,,5,361,946166
35,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Mathematics,Gagik,Amirkhanyan,M,2,361,1885717
36,PROFESSOR,TEACHER,Georgia Institute of Technology,1.0,poor,Computer Science,Timothy,Andersen,,1,361,2354673
37,PROFESSOR,TEACHER,Georgia Institute of Technology,3.6,good,Electrical Engineering,David,Anderson,,6,361,845682
38,PROFESSOR,TEACHER,Georgia Institute of Technology,4.4,good,Industrial Engineering,Sigrun,Andradottir,,5,361,2275803
39,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Mathematics,Alfred,Andrew,,26,361,588638
40,PROFESSOR,TEACHER,Georgia Institute of Technology,4.4,good,English,Ashley,Andrews,,4,361,914429
41,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Biology,Aakanksha,Angra,,1,361,2257768
42,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Electrical Engineering,Azadeh,Ansari,,1,361,2368953
43,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Chemistry,Harrison,Ansley,,0,361,2133608
44,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Russian,Natasha,Anthony,,0,361,2234596
45,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Computer Science,Manos,Antonakakis,,0,361,2144308
46,PROFESSOR,TEACHER,Georgia Institute of Technology,3.6,good,Mechanical Engineering,Antonia,Antoniou,,6,361,1973437
47,PROFESSOR,TEACHER,Georgia Institute of Technology,3.2,average,Environmental Engineering,Mustafa,Aral,,4,361,1678489
48,PROFESSOR,TEACHER,Georgia Institute of Technology,3.9,good,English,Fernando,Arenas,,4,361,945206
49,PROFESSOR,TEACHER,Georgia Institute of Technology,1.9,poor,Mathematics,Luz-Vela,Arevalo,,25,361,990545
50,PROFESSOR,TEACHER,Georgia Institute of Technology,3.5,good,Psychology,Rosa,Arriaga,,3,361,1191657
51,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Computer Science,Rosa,Arriaga,,1,361,2100674
52,PROFESSOR,TEACHER,Georgia Institute of Technology,4.4,good,Civil Engineering,Chloe,Arson,Fanny,5,361,2217722
53,PROFESSOR,TEACHER,Georgia Institute of Technology,4.0,good,Mechanical Engineering,Konstantinos,Arvanitis,,1,361,2222573
54,PROFESSOR,TEACHER,Georgia Institute of Technology,3.5,good,Civil Engineering,Baabak,Ashuri,,1,361,2141621
55,PROFESSOR,TEACHER,Georgia Institute of Technology,5.0,good,Management,Atalay,Atasu,,1,361,2307072
56,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,International Politics,Marisa,Atencio,,0,361,2349586
57,PROFESSOR,TEACHER,Georgia Institute of Technology,N/A,zero,Psychology,Kaila,Atkins,,0,361,2466991
58,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Mathematics,Hassan,Attarchi,,7,361,2297373
59,PROFESSOR,TEACHER,Georgia Institute of Technology,2.6,average,Sociology,Sybrina,Atwaters,,6,361,1456720
60,PROFESSOR,TEACHER,Georgia Institute of Technology,2.2,poor,English,Philip,Auslander,,8,361,1018804
61,PROFESSOR,TEACHER,Georgia Institute of Technology,4.3,good,Sociology,Dustin,Avent-Holt,,3,361,1605513
62,PROFESSOR,TEACHER,Georgia Institute of Technology,4.7,good,Industrial Engineering,Hayriye,Ayhan,,7,361,2047265
63,PROFESSOR,TEACHER,Georgia Institute of Technology,3.0,average,Industrial Design,Lisa,Babb,,2,361,2381005
