0,1,2,3,4,5,6,7,8,9,10,11,12
2018,fall,AAS,100,3,UNKNOWN,29646,Lecture,AL1,11:00 AM - 11:50 AM,MW,100 Gregory Hall,"Ngo, F"
2018,fall,AAS,105,3,UNKNOWN,70169,Lecture-Discussion,A,01:30 PM - 02:50 PM,TR,105 Talbot Laboratory,"Sharif, L"
2018,fall,AAS,200,3,UNKNOWN,67473,Lecture-Discussion,C,03:00 PM - 04:20 PM,TR,103 Bevier Hall,"Rana, J"
2018,fall,AAS,201,3,UNKNOWN,71040,Lecture-Discussion,B1,11:00 AM - 12:20 PM,TR,370 Armory,"Evans, J"
2018,fall,AAS,201,3,UNKNOWN,71043,Lecture-Discussion,B2,03:30 PM - 04:50 PM,TR,326 David Kinley Hall,"Chu, Y"
2018,fall,AAS,211,3,UNKNOWN,67896,Lecture-Discussion,B,11:00 AM - 12:20 PM,TR,137 Armory,"Nguyen, M"
2018,fall,AAS,246,3,UNKNOWN,66200,Lecture-Discussion,A,03:00 PM - 05:20 PM,M,103 Bevier Hall,"Kwon, S"
2018,fall,AAS,281,3,UNKNOWN,70106,Lecture-Discussion,A,11:00 AM - 12:20 PM,TR,259 English Building,"Burgos, A"
2018,fall,AAS,287,3,UNKNOWN,58092,Lecture-Discussion,A,11:00 AM - 12:20 PM,TR,225A Talbot Laboratory,"Sharif, L"
2018,fall,AAS,297,3,UNKNOWN,64421,Lecture-Discussion,A,03:30 PM - 04:45 PM,MW,329 Armory,"Balgopal, A"
2018,fall,AAS,299,3,UNKNOWN,70171,Lecture-Discussion,A,04:00 PM - 05:20 PM,MW,212 David Kinley Hall,"Paik, A"
2018,fall,AAS,310,4,,,Lecture,A,02:00 PM - 03:50 PM,T,22 Education Building,"Anderson, JMoton, TWard, R"
2018,fall,AAS,310,4,,,Lecture,B,02:00 PM - 03:50 PM,T,22 Education Building,"Anderson, JMoton, TWard, R"
2018,fall,AAS,375,3,UNKNOWN,67235,Lecture-Discussion,NP,01:00 PM - 02:20 PM,MW,174 Wohlers Hall,"Paik, A"
2018,fall,AAS,402,4,UNKNOWN,45567,Lecture-Discussion,A,02:00 PM - 03:50 PM,W,22 Education Building,"Pak, Y"
2018,fall,AAS,402,4,UNKNOWN,64998,Lecture-Discussion,B,02:00 PM - 03:50 PM,W,22 Education Building,"Pak, Y"
