0,1,2,3,4,5,6,7,8,9,10,11,12
2016,fall,REES,200,3,UNKNOWN,41441,Lecture-Discussion,A,02:00 PM - 03:20 PM,TR,104Talbot Laboratory,"Marshall, M"
2016,fall,REES,115,3,UNKNOWN,53620,Lecture-Discussion,A,12:00 PM - 01:20 PM,MW,333Armory,"Gasyna, G"
2016,fall,REES,116,3,UNKNOWN,62326,Lecture-Discussion,A,01:00 PM - 01:50 PM,MWF,317David Kinley Hall,"Tempest, R"
2016,fall,REHB,199,1,UNKNOWN,65905,Lecture-Discussion,IR1,11:00 AM - 12:50 PM,TR,136Armory,"Rice, I"
2016,fall,REHB,199,1,UNKNOWN,67646,Lecture-Discussion,SA,04:00 PM - 05:20 PM,W,143Armory,"Strauser, D"
2016,fall,REHB,199,1,UNKNOWN,67653,Lecture-Discussion,SPB,01:00 PM - 02:20 PM,T,241Armory,"Eagle, D"
2016,fall,REHB,330,3,UNKNOWN,38405,Lecture-Discussion,A,03:00 PM - 04:20 PM,MW,2001Huff Hall,"Rice, L"
2016,fall,REHB,322,3,UNKNOWN,33288,Lecture-Discussion,A,04:00 PM - 06:50 PM,R,2Education Building,"Light Shriner, C"
2016,fall,REHB,536,4,UNKNOWN,31017,Lecture-Discussion,A,02:00 PM - 04:20 PM,W,1002Huff Hall,"Chiu, C"
2016,fall,REHB,402,4,UNKNOWN,30739,Lecture-Discussion,A,12:30 PM - 02:20 PM,TR,166Bevier Hall,"Strauser, D"
2016,fall,REHB,401,4,UNKNOWN,30737,Lecture-Discussion,A,09:30 AM - 10:50 AM,TR,170Wohlers Hall,"Strauser, D"
2016,fall,ECON,590,0,UNKNOWN,66599,Lecture-Discussion,3YP,02:00 PM - 03:20 PM,MW,322David Kinley Hall,"Deltas, G"
2016,fall,ECON,590,0,UNKNOWN,66032,Lecture-Discussion,EMB,ARRANGED -,,,"DeBrock, L"
2016,fall,ECON,590,0,UNKNOWN,66635,Lecture-Discussion,S1,02:00 PM - 03:20 PM,MW,223David Kinley Hall,"Forsythe, E"
2016,fall,ECON,590,0,UNKNOWN,66637,Lecture-Discussion,S2,08:00 AM - 09:20 AM,TR,223David Kinley Hall,"Marx, B"
2016,fall,ECON,590,0,UNKNOWN,66638,Lecture-Discussion,S3,02:00 PM - 03:20 PM,TR,245Wohlers Hall,"Shin, M"
2016,fall,ECON,555,4,UNKNOWN,66626,Lecture-Discussion,PHD,08:00 AM - 09:20 AM,MW,223David Kinley Hall,"Cho, I"
2016,fall,ECON,198,1,UNKNOWN,61214,Lecture-Discussion,1,10:00 AM - 10:50 AM,T,123David Kinley Hall,"Awad, SGeorge, ALu, RNewell, M"
2016,fall,ECON,198,1,UNKNOWN,61215,Lecture-Discussion,2,12:00 PM - 12:50 PM,T,119David Kinley Hall,"Awad, SGeorge, ALu, RNewell, M"
2016,fall,ECON,198,1,UNKNOWN,63842,Lecture-Discussion,3,10:00 AM - 10:50 AM,W,123David Kinley Hall,"Awad, SGeorge, ALu, RNewell, M"
2016,fall,ECON,198,1,UNKNOWN,63843,Lecture-Discussion,4,12:00 PM - 12:50 PM,W,119David Kinley Hall,"Awad, SGeorge, ALu, RNewell, M"
2016,fall,ECON,198,1,UNKNOWN,66927,Lecture-Discussion,GS,10:00 AM - 10:50 AM,R,301Architecture Building,"Melrose, N"
2016,fall,ECON,210,3,UNKNOWN,61564,Lecture,AL1,02:00 PM - 02:50 PM,MW,134Temple Hoyne Buell Hall,"Christensen, P"
2016,fall,ECON,450,2,UNKNOWN,66598,Lecture-Discussion,A3,02:00 PM - 03:20 PM,MW,123David Kinley Hall,"Akresh, R"
2016,fall,ECON,450,2,UNKNOWN,66753,Lecture-Discussion,A4,02:00 PM - 03:20 PM,MW,123David Kinley Hall,"Akresh, R"
2016,fall,ECON,450,2,UNKNOWN,66615,Lecture-Discussion,B3,02:00 PM - 03:20 PM,TR,223David Kinley Hall,"Veras De Paiva Fonseca, H"
2016,fall,ECON,452,2,UNKNOWN,66668,Lecture-Discussion,A3,02:00 PM - 03:20 PM,TR,106David Kinley Hall,"D'Almeida, F"
2016,fall,ECON,556,4,UNKNOWN,66627,Lecture-Discussion,PHD,09:30 AM - 10:50 AM,MW,223David Kinley Hall,"Cho, I"
