0,1,2,3,4,5,6,7,8,9,10,11,12
2017,fall,AAS,100,3,UNKNOWN,69298,Lecture-Discussion,A2,03:30 PM - 04:50 PM,TR,327 Gregory Hall,"Espiritu, A"
2017,fall,AAS,100,3,UNKNOWN,69570,Lecture-Discussion,A3,03:30 PM - 06:00 PM,MW,315 Gregory Hall,"Paik, A"
2017,fall,AAS,100,3,UNKNOWN,69634,Lecture-Discussion,A4,09:00 AM - 11:50 AM,TR,325 David Kinley Hall,"Sharif, L"
2017,fall,AAS,100,3,UNKNOWN,29646,Lecture,AL1,11:00 AM - 11:50 AM,MW,100 Gregory Hall,"Kwon, S"
2017,fall,AAS,200,3,UNKNOWN,67473,Lecture-Discussion,C,12:30 PM - 01:50 PM,TR,1040 Foreign Languages Building,"Sharif, L"
2017,fall,AAS,211,3,UNKNOWN,67896,Lecture-Discussion,B,11:00 AM - 12:20 PM,TR,222 David Kinley Hall,"Nguyen, M"
2017,fall,AAS,291,3,UNKNOWN,68316,Lecture-Discussion,A,02:00 PM - 03:20 PM,TR,G36 Foreign Languages Building,"Pandharipande, RPareek, G"
2017,fall,AAS,297,3,UNKNOWN,64421,Lecture-Discussion,A,04:00 PM - 05:15 PM,MW,386 Armory,"Balgopal, A"
2017,fall,AAS,300,3,UNKNOWN,66652,Lecture-Discussion,A,12:30 PM - 01:50 PM,TR,1020 Lincoln Hall,"Ngo, F"
2017,fall,AAS,310,4,,,Lecture,A,02:00 PM - 03:50 PM,T,22 Education Building,"Anderson, JVelez, AWard, R"
2017,fall,AAS,310,4,,,Lecture,B,02:00 PM - 03:50 PM,T,22 Education Building,"Anderson, JVelez, AWard, R"
2017,fall,AAS,370,3,UNKNOWN,67536,Lecture-Discussion,A,01:00 PM - 02:20 PM,MW,217 Gregory Hall,"Paik, A"
2017,fall,AAS,390,3,UNKNOWN,67213,Lecture-Discussion,D,11:00 AM - 12:50 PM,MW,G30 Foreign Languages Building,"Pritchard, E"
2017,fall,AAS,400,3,UNKNOWN,68290,Lecture-Discussion,G,02:00 PM - 04:50 PM,W,,"Rana, J"
2017,fall,AAS,400,3,UNKNOWN,67939,Lecture-Discussion,U,02:00 PM - 04:50 PM,W,,"Rana, J"
2017,fall,AAS,402,4,UNKNOWN,45567,Lecture-Discussion,A,02:00 PM - 03:50 PM,W,22 Education Building,"Pak, Y"
2017,fall,AAS,402,4,UNKNOWN,64998,Lecture-Discussion,B,02:00 PM - 03:50 PM,W,22 Education Building,"Pak, Y"
2017,fall,AAS,479,3,UNKNOWN,55874,Lecture-Discussion,G,02:00 PM - 04:20 PM,M,325 Gregory Hall,"Lira, N"
2017,fall,AAS,479,3,UNKNOWN,55873,Lecture-Discussion,U,02:00 PM - 04:20 PM,M,325 Gregory Hall,"Lira, N"
2017,fall,AAS,490,3,UNKNOWN,68104,Lecture-Discussion,JT3,09:30 AM - 10:50 AM,TR,389 Education Building,"Treat, J"
2017,fall,AAS,490,3,UNKNOWN,68105,Lecture-Discussion,JT4,09:30 AM - 10:50 AM,TR,389 Education Building,"Treat, J"
2017,fall,ABE,100,1,UNKNOWN,31263,Lecture,B,01:00 PM - 02:50 PM,R,131 Animal Sciences Laboratory,"Green, A"
2017,fall,ABE,199,1,UNKNOWN,55376,Lecture-Discussion,CHP,04:00 PM - 05:20 PM,TR,204 Agricultural Engr Sciences Bld,"Kalita, P"
2017,fall,ABE,223,2,UNKNOWN,58927,Lecture,AL1,10:00 AM - 10:50 AM,MWF,204 Agricultural Engr Sciences Bld,"Grift, T"
2017,fall,ABE,224,2,UNKNOWN,58931,Lecture,AL1,10:00 AM - 10:50 AM,MWF,204 Agricultural Engr Sciences Bld,"Bhattarai, R"
2017,fall,ABE,341,3,UNKNOWN,57598,Lecture,KR,11:00 AM - 11:50 AM,MWF,204 Agricultural Engr Sciences Bld,"Rausch, KTian, J"
2017,fall,ABE,430,2,UNKNOWN,64779,Lecture,AL1,11:00 AM - 11:50 AM,T,149 National Soybean Res Ctr,"Davidson, P"
2017,fall,ABE,436,3,,,Lecture,XW1,01:00 PM - 01:50 PM,WF,204 Agricultural Engr Sciences Bld,"Wang, X"
2017,fall,ABE,436,3,,,Lecture,XW2,01:00 PM - 01:50 PM,WF,204 Agricultural Engr Sciences Bld,"Wang, X"
2017,fall,ABE,440,4,UNKNOWN,33575,Lecture,AL1,03:30 PM - 04:50 PM,TR,150 Animal Sciences Laboratory,"Lipka, A"
2017,fall,ABE,445,4,UNKNOWN,67023,Lecture-Discussion,A,09:30 AM - 10:50 AM,TR,"22 ACES Lib, Info & Alum Ctr","Rodriguez-Zas, S"
2017,fall,ABE,459,3,,,Lecture,A3,01:00 PM - 01:50 PM,MWF,242 Agricultural Engr Sciences Bld,"Cooke, R"
2017,fall,ABE,459,3,,,Lecture,A4,01:00 PM - 01:50 PM,MWF,242 Agricultural Engr Sciences Bld,"Cooke, R"
2017,fall,ABE,463,3,,,Lecture,TEG,01:00 PM - 01:50 PM,MW,248 Agricultural Engr Sciences Bld,"Grift, T"
2017,fall,ABE,466,3,UNKNOWN,31280,Lecture,AL1,10:00 AM - 10:50 AM,TR,204 Agricultural Engr Sciences Bld,"Hansen, A"
2017,fall,ABE,476,4,UNKNOWN,29662,Lecture,AL1,09:30 AM - 10:50 AM,TR,208 Agricultural Engr Sciences Bld,"Zhang, Y"
2017,fall,ABE,482,3,UNKNOWN,37689,Lecture,A,12:00 PM - 12:50 PM,MWF,272 Agricultural Engr Sciences Bld,"Morris, S"
2017,fall,ABE,488,3,UNKNOWN,57478,Lecture,VS,01:00 PM - 02:20 PM,TR,208 Agricultural Engr Sciences Bld,"Singh, V"
2017,fall,ABE,498,1,UNKNOWN,46931,Lecture,AL1,10:00 AM - 11:15 AM,MW,322 David Kinley Hall,"Chowdhary, G"
2017,fall,ABE,498,1,,,Lecture,LT4,09:00 AM - 09:50 AM,TR,242 Agricultural Engr Sciences Bld,"Tian, L"
2017,fall,ABE,498,1,,,Lecture,RB3,09:00 AM - 09:50 AM,TR,242 Agricultural Engr Sciences Bld,"Bhattarai, R"
2017,fall,ABE,501,1,UNKNOWN,39806,Lecture-Discussion,A,03:00 PM - 03:50 PM,M,248 Agricultural Engr Sciences Bld,"Zhang, Y"
2017,fall,ABE,594,0,UNKNOWN,47356,Lecture-Discussion,AL1,12:00 PM - 12:50 PM,F,204 Agricultural Engr Sciences Bld,"Chu, M"
2017,fall,ABE,598,1,UNKNOWN,69175,Lecture-Discussion,DLB,11:00 AM - 11:50 AM,W,248 Agricultural Engr Sciences Bld,"LeBauer, D"
2017,fall,ACCY,201,3,UNKNOWN,36474,Lecture,AL1,11:00 AM - 12:20 PM,TR,THEAT Lincoln Hall,"Curtis, S"
2017,fall,ACCY,201,3,UNKNOWN,36477,Lecture,AL2,12:30 PM - 01:50 PM,TR,66 Library,"Curtis, S"
2017,fall,ACCY,202,3,UNKNOWN,36549,Lecture,AL1,09:30 AM - 10:50 AM,MW,1001 Business Instructional Fac,"Shapland, J"
2017,fall,ACCY,301,3,UNKNOWN,36577,Lecture-Discussion,AE1,08:00 AM - 09:20 AM,MW,2063 Business Instructional Fac,"Anderson, S"
2017,fall,ACCY,301,3,UNKNOWN,36581,Lecture-Discussion,AE2,09:30 AM - 10:50 AM,MW,2063 Business Instructional Fac,"Anderson, S"
2017,fall,ACCY,301,3,UNKNOWN,36584,Lecture-Discussion,AE3,11:00 AM - 12:20 PM,MW,2063 Business Instructional Fac,"Anderson, S"
2017,fall,ACCY,301,3,UNKNOWN,36587,Lecture-Discussion,AE4,02:00 PM - 03:20 PM,TR,3001 Business Instructional Fac,"Wang, Z"
2017,fall,ACCY,301,3,UNKNOWN,36590,Lecture-Discussion,AE5,11:00 AM - 12:20 PM,TR,3001 Business Instructional Fac,"Wang, Z"
2017,fall,ACCY,301,3,UNKNOWN,36592,Lecture-Discussion,AE6,12:30 PM - 01:50 PM,MW,2005 Business Instructional Fac,"Sougiannis, T"
2017,fall,ACCY,301,3,UNKNOWN,36598,Lecture-Discussion,AE8,12:30 PM - 01:50 PM,TR,3001 Business Instructional Fac,"Wang, Z"
2017,fall,ACCY,301,3,UNKNOWN,49255,Lecture-Discussion,AEB,02:00 PM - 03:20 PM,MW,2005 Business Instructional Fac,"Sougiannis, T"
