0,1,2,3,4,5,6,7,8,9,10,11,12
2018,spring,REES,201,3,UNKNOWN,39459,Lecture,B,12:30 PM - 01:50 PM,TR,11Psychology Building,"Pintar, J"
2018,spring,REES,115,3,UNKNOWN,61660,Lecture-Discussion,A,03:30 PM - 04:50 PM,TR,330Armory,"Gasyna, GSacilowski, D"
2018,spring,REHB,407,3,UNKNOWN,60723,Lecture-Discussion,G4,02:00 PM - 04:20 PM,W,146Armory,"Chiu, C"
2018,spring,REHB,407,3,UNKNOWN,60724,Lecture-Discussion,U3,02:00 PM - 04:20 PM,W,146Armory,"Chiu, C"
2018,spring,REHB,199,1,UNKNOWN,66163,Lecture-Discussion,IR1,02:00 PM - 03:20 PM,TR,1002Huff Hall,"Rice, I"
2018,spring,REHB,330,3,UNKNOWN,64478,Lecture-Discussion,LR1,12:30 PM - 01:50 PM,TR,1090Lincoln Hall,"Rice, L"
2018,spring,REHB,322,3,UNKNOWN,34524,Lecture-Discussion,A,04:00 PM - 06:50 PM,R,2Education Building,"Light Shriner, C"
2018,spring,REHB,435,2,UNKNOWN,37850,Lecture,A,03:00 PM - 04:50 PM,M,1002Huff Hall,"Strauser, D"
2018,spring,REHB,419,2,UNKNOWN,60356,Lecture-Discussion,A,09:00 AM - 11:50 AM,W,37Education Building,"Kinderman, L"
2018,spring,REHB,594,1,UNKNOWN,68076,Lecture-Discussion,CYC,ARRANGED -,,,"Chiu, C"
2018,spring,ECON,590,0,UNKNOWN,48182,Lecture-Discussion,2,02:00 PM - 03:20 PM,MW,317David Kinley Hall,"Forsythe, E"
2018,spring,ECON,590,0,UNKNOWN,61847,Lecture-Discussion,3,09:30 AM - 10:50 AM,TR,206David Kinley Hall,"Albouy, D"
2018,spring,ECON,590,0,UNKNOWN,64077,Lecture-Discussion,4,02:00 PM - 03:20 PM,MW,212David Kinley Hall,"Shin, M"
2018,spring,ECON,590,0,UNKNOWN,60534,Lecture-Discussion,5,11:00 AM - 12:20 PM,TR,,"Das, S"
2018,spring,ECON,590,0,UNKNOWN,62247,Lecture-Discussion,6,12:30 PM - 01:50 PM,MW,115David Kinley Hall,"Osman, A"
2018,spring,ECON,590,0,UNKNOWN,64074,Lecture-Discussion,7,09:30 AM - 10:50 AM,MW,219David Kinley Hall,"Borgschulte, MMarshall, G"
2018,spring,ECON,590,0,UNKNOWN,64076,Lecture-Discussion,8,11:00 AM - 12:20 PM,MW,206David Kinley Hall,"Marx, B"
2018,spring,ECON,590,0,UNKNOWN,67461,Lecture-Discussion,9,02:00 PM - 03:20 PM,MW,115David Kinley Hall,"Kahn, C"
2018,spring,ECON,590,0,UNKNOWN,66836,Lecture-Discussion,M,08:00 AM - 09:50 AM,MW,317David Kinley Hall,"Marx, B"
2018,spring,ECON,590,0,UNKNOWN,62246,Lecture-Discussion,M1,12:00 PM - 01:50 PM,MW,123David Kinley Hall,"Marshall, G"
2018,spring,ECON,590,0,UNKNOWN,62839,Lecture-Discussion,M2,12:00 PM - 01:50 PM,TR,123David Kinley Hall,"Hewings, G"
2018,spring,ECON,590,0,UNKNOWN,59282,Lecture,M4,08:00 AM - 09:50 AM,MW,123David Kinley Hall,"Akresh, R"
2018,spring,ECON,590,0,UNKNOWN,64416,Lecture-Discussion,TPK,02:00 PM - 03:20 PM,MW,219David Kinley Hall,"Deltas, G"
2018,spring,ECON,578,4,UNKNOWN,57553,Lecture-Discussion,A1,09:30 AM - 10:50 AM,TR,115David Kinley Hall,"Shao, X"
2018,spring,ECON,199,0,UNKNOWN,65800,Lecture-Discussion,B2,02:00 PM - 03:20 PM,TR,111David Kinley Hall,"Vazquez, J"
2018,spring,ECON,199,0,UNKNOWN,68081,Lecture-Discussion,BZ,ARRANGED -,,,"Newell, MPetry, J"
2018,spring,ECON,199,0,UNKNOWN,68367,Lecture-Discussion,BZS,ARRANGED -,,,"Newell, MPetry, J"
2018,spring,ECON,199,0,UNKNOWN,68511,Lecture,IDS,04:00 PM - 04:50 PM,M,1051Lincoln Hall,"DiIanni, I"
2018,spring,ECON,198,1,UNKNOWN,66067,Lecture-Discussion,1,11:00 AM - 11:50 AM,M,123David Kinley Hall,"Bilsbury, TKennealy - Pierczynski, K"
2018,spring,ECON,198,1,UNKNOWN,61789,Lecture-Discussion,2,10:00 AM - 10:50 AM,T,119David Kinley Hall,"Boys, JKennealy - Pierczynski, K"
2018,spring,ECON,198,1,UNKNOWN,65450,Lecture-Discussion,3,10:00 AM - 10:50 AM,W,119David Kinley Hall,"Kennealy - Pierczynski, K"
2018,spring,ECON,198,1,UNKNOWN,58937,Lecture-Discussion,4,11:00 AM - 11:50 AM,W,119David Kinley Hall,"Kennealy - Pierczynski, K"
2018,spring,ECON,198,1,UNKNOWN,65451,Lecture-Discussion,5,02:00 PM - 02:50 PM,W,119David Kinley Hall,"Carmack, KKennealy - Pierczynski, K"
2018,spring,ECON,198,1,UNKNOWN,60714,Lecture-Discussion,6,03:00 PM - 03:50 PM,W,119David Kinley Hall,"Carmack, KKennealy - Pierczynski, K"
2018,spring,ECON,198,1,UNKNOWN,64292,Lecture-Discussion,GS,04:00 PM - 04:50 PM,M,123David Kinley Hall,"Hutjens, KKennealy - Pierczynski, K"
2018,spring,ECON,210,3,UNKNOWN,30541,Lecture,AL1,02:00 PM - 02:50 PM,MW,150Animal Sciences Laboratory,"Ando, A"
2018,spring,ECON,450,2,UNKNOWN,43677,Lecture-Discussion,A3,11:00 AM - 12:20 PM,MW,215BDavid Kinley Hall,"Akresh, R"
2018,spring,ECON,450,2,UNKNOWN,43679,Lecture-Discussion,A4,11:00 AM - 12:20 PM,MW,215BDavid Kinley Hall,"Akresh, R"
2018,spring,ECON,598,2,UNKNOWN,64618,Lecture-Discussion,DB,01:00 PM - 03:15 PM,MW,206David Kinley Hall,"Bernhardt, M"
2018,spring,ECON,452,2,UNKNOWN,33618,Lecture-Discussion,A3,09:30 AM - 10:50 AM,MW,215David Kinley Hall,"de Melo Caldas, R"
2018,spring,ECON,452,2,UNKNOWN,33622,Lecture-Discussion,A4,09:30 AM - 10:50 AM,MW,215David Kinley Hall,"de Melo Caldas, R"
2018,spring,ECON,452,2,UNKNOWN,66074,Lecture-Discussion,B3,11:00 AM - 12:20 PM,TR,125David Kinley Hall,"de Melo Caldas, R"
2018,spring,ECON,452,2,UNKNOWN,33620,Lecture-Discussion,B4,11:00 AM - 12:20 PM,TR,125David Kinley Hall,"de Melo Caldas, R"
2018,spring,ECON,553,4,UNKNOWN,62480,Lecture-Discussion,C,10:00 AM - 11:50 AM,MWF,316NMumford Hall,"Arends-Kuenning, MNelson, C"
2018,spring,ECON,440,2,UNKNOWN,33609,Lecture-Discussion,A3,09:30 AM - 10:50 AM,MW,108David Kinley Hall,"Wu, Y"
2018,spring,ECON,490,3,UNKNOWN,67468,Lecture-Discussion,A3,02:00 PM - 03:20 PM,MW,108David Kinley Hall,"Sun, Y"
2018,spring,ECON,490,3,UNKNOWN,67475,Lecture-Discussion,A4,02:00 PM - 03:20 PM,MW,108David Kinley Hall,"Sun, Y"
2018,spring,ECON,490,3,UNKNOWN,64018,Lecture-Discussion,B3,11:00 AM - 12:20 PM,MW,215David Kinley Hall,"Howard, G"
2018,spring,ECON,490,3,UNKNOWN,67075,Lecture-Discussion,B4,11:00 AM - 12:20 PM,MW,215David Kinley Hall,"Howard, G"
2018,spring,ECON,490,3,UNKNOWN,59202,Lecture-Discussion,C3,09:30 AM - 10:50 AM,MW,70BWohlers Hall,"Weinstein, R"
2018,spring,ECON,490,3,UNKNOWN,62505,Lecture-Discussion,C4,09:30 AM - 10:50 AM,MW,70BWohlers Hall,"Weinstein, R"
2018,spring,ECON,490,3,UNKNOWN,64022,Lecture-Discussion,D3,03:30 PM - 04:50 PM,TR,215BDavid Kinley Hall,"Yeh, C"
2018,spring,ECON,490,3,UNKNOWN,64023,Lecture-Discussion,D4,03:30 PM - 04:50 PM,TR,215BDavid Kinley Hall,"Yeh, C"
2018,spring,ECON,490,3,UNKNOWN,61881,Lecture-Discussion,E3,11:00 AM - 12:20 PM,TR,119David Kinley Hall,"DiIanni, I"
2018,spring,ECON,490,3,UNKNOWN,62266,Lecture-Discussion,F3,02:00 PM - 03:20 PM,TR,206David Kinley Hall,"Toossi, A"
2018,spring,ECON,490,3,UNKNOWN,57387,Lecture-Discussion,F4,02:00 PM - 03:20 PM,TR,206David Kinley Hall,"Toossi, A"
2018,spring,ECON,490,3,UNKNOWN,59279,Lecture-Discussion,G1,11:00 AM - 12:20 PM,TR,206David Kinley Hall,"Das, S"
2018,spring,ECON,490,3,UNKNOWN,59299,Lecture-Discussion,G3,02:00 PM - 03:20 PM,TR,317David Kinley Hall,"Das, S"
2018,spring,ECON,490,3,UNKNOWN,64024,Lecture-Discussion,G4,02:00 PM - 03:20 PM,TR,317David Kinley Hall,"Das, S"
2018,spring,ECON,490,3,UNKNOWN,54771,Lecture-Discussion,H3,11:00 AM - 12:20 PM,TR,113David Kinley Hall,"Chung, E"
2018,spring,ECON,490,3,UNKNOWN,57130,Lecture-Discussion,H4,11:00 AM - 12:20 PM,TR,113David Kinley Hall,"Chung, E"
2018,spring,ECON,490,3,UNKNOWN,60458,Lecture-Discussion,I3,03:30 PM - 04:50 PM,MW,215BDavid Kinley Hall,"Esfahani, H"
2018,spring,ECON,490,3,UNKNOWN,59280,Lecture-Discussion,I4,03:30 PM - 04:50 PM,MW,215BDavid Kinley Hall,"Esfahani, H"
2018,spring,ECON,490,3,UNKNOWN,64019,Lecture-Discussion,J3,12:30 PM - 01:50 PM,TR,310David Kinley Hall,"Shin, M"
2018,spring,ECON,490,3,UNKNOWN,54773,Lecture-Discussion,J3B,02:00 PM - 03:20 PM,MW,215David Kinley Hall,"Philipps, C"
2018,spring,ECON,490,3,UNKNOWN,54978,Lecture-Discussion,J4,12:30 PM - 01:50 PM,TR,310David Kinley Hall,"Shin, M"
2018,spring,ECON,490,3,UNKNOWN,57211,Lecture-Discussion,K3,03:30 PM - 04:50 PM,MW,108David Kinley Hall,"Sun, Y"
